,name,rating,number of review,about
958,TNQ Technologies,3.7,633,Printing & Publishing | 1k-5k Employees | 25 years old | Chennai +6 more
959,Neel Metal Products,4.1,633,Metals & Mining | 201-500 Employees | 40 years old | Gurgaon +26 more
960,Future Supply Chain Solutions,4.3,631,Logistics | 1k-5k Employees | Public | 17 years old | Mumbai +59 more
961,Metropolis Healthcare,4.0,631,Healthcare | 1k-5k Employees | Conglomerate | 43 years old | Mumbai +77 more
962,ZF Steering Gear,3.6,631,Auto Components | 501-1k Employees | Public | 108 years old | Pune +17 more
963,Yashoda Hospitals,3.9,631,Healthcare | 501-1k Employees | 34 years old | Ghaziabad +18 more
964,HFCL,4.1,630,Hardware & Networking | 1k-5k Employees | Public | 36 years old | Delhi/NCR +79 more
965,Happiest Minds Technologies,4.0,630,IT Services & Consulting | 1k-5k Employees | Public | 12 years old | Bangalore +13 more
966,Future Focus Infotech,3.5,629,IT Services & Consulting | 5k-10k Employees | 26 years old | Chennai +50 more
967,Qualcomm,4.0,629,Semiconductors | 10k-50k Employees | Forbes Global 2000 | 27 years old | San Diego +14 more
968,Uber,4.2,628,Internet | 1k-5k Employees | Public | 14 years old | San Francisco +42 more
969,Pramerica Life Insurance,4.0,628,Insurance | 1k-5k Employees | 9 years old | Gurgaon +113 more
970,Sykes Business Services Of India,3.5,628,BPO | 10k-50k Employees | 46 years old | Tampa +17 more
971,Incedo,3.6,627,IT Services & Consulting | 1k-5k Employees | 12 years old | Iselin +9 more
972,Meril,3.9,627,Medical Equipment | 1k-5k Employees | 17 years old | Vapi +56 more
973,Indusind Marketing & Financial Services,4.1,626,Financial Services | 501-1k Employees | 21 years old | Chennai +240 more
974,THE LEELA PALACES HOTELS & RESORTS,4.0,626,Hospitality | 1k-5k Employees | Conglomerate | 40 years old | Mumbai +26 more
975,Karvy Computershare,3.7,625,Hyderabad/Secunderabad +61 more
976,Kinara Capital,4.4,625,FinTech | 1k-5k Employees | 12 years old | Bangalore +101 more
977,Karvy Stock Broking,3.5,624,1k-5k Employees | 33 years old | Hyderabad/Secunderabad +98 more
978,Birla Corporation,4.1,624,Building Material | 1k-5k Employees | Public | 104 years old | Kolkata +100 more
979,KIMS Hospital,4.1,624,Healthcare | 501-1k Employees | 11 years old | Hyderabad/Secunderabad +36 more
980,Panacea Biotec,3.8,623,Biotechnology | 1k-5k Employees | Public | 39 years old | Delhi/NCR +44 more
981,Centum Electronics,3.8,622,Electronics Manufacturing | 1k-5k Employees | Public | 29 years old | Bangalore/Bengaluru +10 more
982,Bank of India,3.9,621,Banking | 50k-1 Lakh Employees | Fortune India 500 | 117 years old | Mumbai +144 more
983,Aviva Life Insurance India,3.9,619,Insurance | 1k-5k Employees | Forbes Global 2000 | 327 years old | London +93 more
984,Air India,4.1,618,Aviation | 10k-50k Employees | Central | 93 years old | Delhi/NCR +45 more
985,Greaves Cotton,4.0,618,Industrial Machinery | 1k-5k Employees | Public | 164 years old | Mumbai +33 more
986,Evision Technoserve,4.6,618,Recruitment | 201-500 Employees | 11 years old | Delhi/NCR +60 more
987,Troikaa Pharmaceuticals,3.9,617,Pharma | 1k-5k Employees | 40 years old | Ahmedabad +64 more
988,Vedanta Aluminium,3.8,617,Metals & Mining | 1k-5k Employees | 20 years old | Jharsuguda +26 more
989,Skill Lync,3.2,617,EdTech | 201-500 Employees | Startup | 8 years old | Palo Alto +11 more
990,Patra Corporation,3.7,616,IT Services & Consulting | 1k-5k Employees | 18 years old | El Dorado Hills +13 more
991,CALIBEHR,3.8,616,Recruitment | 1k-5k Employees | 44 years old | Mumbai +102 more
992,Hikal,4.0,615,Pharma | 1k-5k Employees | 35 years old | Mumbai +13 more
993,KEI Industries,4.1,614,Electrical Equipment | 1k-5k Employees | Public | 55 years old | Delhi/NCR +67 more
994,GAMMON INDIA,3.8,614,Engineering & Construction | 11-50 Employees | Public | 101 years old | Mumbai +68 more
995,Acuity Knowledge Partners,3.7,613,Financial Services | 1k-5k Employees | 21 years old | London +11 more
996,Snapdeal,3.9,613,Internet | 1k-5k Employees | Indian Unicorn | 13 years old | Delhi +30 more
997,HT Media,3.5,612,Media & Entertainment | 1k-5k Employees | Public | 99 years old | Delhi/NCR +36 more
998,Sandvik Asia,4.4,611,Industrial Machinery | 10k-50k Employees (Global) | 161 years old | Stockholm +31 more
999,Reliance Capital,3.8,611,Financial Services | 1k-5k Employees | Public | 18 years old | Navi Mumbai +83 more
1000,GVPR Engineers,4.1,611,Engineering & Construction | 501-1k Employees | Public | 26 years old | Hyderabad/Secunderabad +55 more
1001,GVPR Engineers,4.1,611,Engineering & Construction | 501-1k Employees | Public | 26 years old | Hyderabad/Secunderabad +55 more
1002,Alok Industries,3.8,610,Fashion & Textile | 10k-50k Employees | Public | 37 years old | Mumbai +24 more
1003,Fusion Microfinance,4.0,610,NBFC | 5k-10k Employees | 13 years old | Delhi +169 more
1004,Visionary RCM Infotech,3.4,610,IT Services & Consulting | 1k-5k Employees | 17 years old | Chennai +12 more
1005,Napino Auto & Electronics,4.1,609,Auto Components | 5k-10k Employees | Public | 26 years old | Gurgaon/Gurugram +10 more
1006,VeeTechnologies,3.7,608,IT Services & Consulting | 1k-5k Employees | 23 years old | New York +19 more
1007,Mu Sigma,3.1,608,Management Consulting | 1k-5k Employees | Indian Unicorn | 19 years old | Northbrook +6 more
1008,Vedanta Resources,3.8,607,Metals & Mining | 1k-5k Employees | Public | 47 years old | London +57 more
1009,Mswipe Technologies,3.1,607,FinTech | 1k-5k Employees | 12 years old | Mumbai +74 more
1010,Allianz Technology,4.5,607,IT Services & Consulting | 1k-5k Employees | 133 years old | Munich +11 more
1011,Parekh Integrated Services,4.1,607,Logistics | 1k-5k Employees | 42 years old | Mumbai +67 more
1012,SNC-Lavalin,4.3,606,Engineering & Construction | 1k-5k Employees | Public | 112 years old | Montreal +48 more
1013,Air India Sats Airport Services,3.9,606,Aviation | 1k-5k Employees | 13 years old | Mumbai +25 more
1014,PayPal,4.1,606,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 25 years old | San Jose +7 more
1015,Acme Cleantech Solutions,3.8,605,Industrial Machinery | 1k-5k Employees | 20 years old | Gurgaon/Gurugram +78 more
1016,Precision Techserve,3.9,605,IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +80 more
1017,Vertiv,3.9,605,IT Services & Consulting | 51-200 Employees (Global) | Startup | 7 years old | Columbus +45 more
1018,Willis Towers Watson,4.0,604,Financial Services | 1k-5k Employees | Forbes Global 2000 | 7 years old | London +15 more
1019,United Breweries,3.8,604,Beverage | 1k-5k Employees | Public | 166 years old | Bangalore/Bengaluru +79 more
1020,Samsung Engineering,4.1,604,Engineering & Construction | 1k-5k Employees | 17 years old | Suwon-Si +43 more
1021,Gharda Chemicals,4.1,602,Chemicals | 1k-5k Employees | 56 years old | Mumbai +42 more
1022,Samasta Microfinance,4.1,602,Financial Services | 5k-10k Employees | Public | 15 years old | Bangalore +186 more
1023,Orchids International School,2.9,602,Education & Training | 1k-5k Employees | 19 years old | Nasik/Nashik +25 more
1024,Bechtel,4.1,602,Engineering & Construction | 1k-5k Employees | 125 years old | Reston +21 more
1025,Renew Solar Power,4.3,602,Power | 1k-5k Employees | 12 years old | Gurgaon +55 more
1026,Bayer Crop Science Vegetable Seeds,4.4,601,Hyderabad/Secunderabad +129 more
1027,ICICI Prudential Mutual Fund,3.8,601,Financial Services | 1k-5k Employees | 30 years old | New Delhi +124 more
1028,B. G. Shirke Construction Technology,4.2,601,Engineering & Construction | 1k-5k Employees | 79 years old | Pune +23 more
1029,Tata Steel BSL,4.0,601,Metals & Mining | 10k-50k Employees | Public | 36 years old | Mumbai +31 more
1030,Duck Creek Technologies,4.5,600,Software Product | 501-1k Employees | 23 years old | Boston +4 more
1031,Everest Industries,4.1,600,Building Material | 1k-5k Employees | Public | 89 years old | Noida +62 more
1032,Fareportal,3.4,599,Internet | 1k-5k Employees | 21 years old | New York +8 more
1033,Godfrey Phillips India,4.2,599,FMCG | 1k-5k Employees | Public | 90 years old | Delhi/NCR +76 more
1034,Knorr-Bremse,4.1,599,Auto Components | 501-1k Employees | Forbes Global 2000 | 10 years old | Munich +18 more
1035,Rashmi Metaliks,3.5,599,Metals & Mining | 10k-50k Employees | 19 years old | Kolkata +20 more
1036,Natco Pharma,3.9,599,Pharma | 1k-5k Employees | Public | 42 years old | Hyderabad/Secunderabad +34 more
1037,Micromax Informatics,3.8,598,Consumer Electronics & Appliances | 1k-5k Employees | 23 years old | Gurgaon/Gurugram +110 more
1038,Medha Servo Drives,4.2,598,Electronics Manufacturing | 501-1k Employees | 39 years old | Hyderabad/Secunderabad +40 more
1039,Samsung Electronics Corporation,4.2,598,Consumer Electronics & Appliances | 1 Lakh+ Employees (Global) | Forbes Global 2000 | Noida +88 more
1040,Wheels,4.1,597,Auto Components | 1k-5k Employees | Public | 61 years old | Chennai +26 more
1041,Wheels,4.1,597,Auto Components | 1k-5k Employees | Public | 61 years old | Chennai +26 more
1042,HPCL-Mittal Energy,4.3,596,1k-5k Employees | 16 years old | Noida +20 more
1043,Galfar,4.2,595,Engineering & Construction | 1k-5k Employees | 51 years old | Muscat +30 more
1044,Softenger,4.1,593,IT Services & Consulting | 501-1k Employees | 24 years old | Pune +24 more
1045,Aristo Pharmaceuticals,4.1,593,Pharma | 1k-5k Employees | 52 years old | Mumbai +73 more
1046,CRB Tech Solution,4.2,593,EdTech | 501-1k Employees | 22 years old | Pune +7 more
1047,Varroc Polymers,3.8,591,Auto Components | 201-500 Employees | 28 years old | Aurangabad +28 more
1048,Amara Raja Group,4.1,590,Electrical Equipment | 10k-50k Employees | Public | 38 years old | Bangalore/Bengaluru +49 more
1049,Sandhar Technologies,3.8,589,Auto Components | 1k-5k Employees | Public | 36 years old | Gurgaon/Gurugram +25 more
1050,Suzuki Motorcycle,4.1,589,Automobile | 1k-5k Employees | 26 years old | Hamamatsu-shi +89 more
1051,Star Cement,4.0,589,Building Material | 1k-5k Employees | Public | 22 years old | Kolkata +49 more
1052,Atlas Copco,4.3,589,Industrial Machinery | 1k-5k Employees | Public | 150 years old | Nacka Municipality +45 more
1053,Indira IVF Hospital,4.0,589,Healthcare | 1k-5k Employees | 8 years old | Mumbai +78 more
1054,Centre for Development of Advanced Computing,3.8,588,IT Services & Consulting | 1k-5k Employees | 35 years old | Pune +25 more
1055,Prodapt,3.7,588,IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +9 more
1056,DLF,4.0,588,Real Estate | 501-1k Employees | Public | 77 years old | Gurgaon/Gurugram +25 more
1057,Federal Bank,3.9,586,Banking | 10k-50k Employees | Public | 92 years old | Aluva +105 more
1058,DuPont,4.2,586,Chemicals | 1k-5k Employees | 221 years old | Wilmington +47 more
1059,Sheenlac Paints,4.5,586,Chemicals | 501-1k Employees | Public | 61 years old | Chennai +77 more
1060,Kotak Mahindra Prime,4.0,586,Banking | 10k-50k Employees | Public | 27 years old | Mumbai +100 more
1061,Sheenlac Paints,4.5,586,Chemicals | 501-1k Employees | Public | 61 years old | Chennai +77 more
1062,Lakshmi Machine Works,4.0,585,Industrial Machinery | 1k-5k Employees | Public | 61 years old | Coimbatore +18 more
1063,Page Industries,4.3,585,Fashion & Textile | 10k-50k Employees | Public | 29 years old | Bangalore/Bengaluru +65 more
1064,General Mills,4.2,583,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 95 years old | Minneapolis +36 more
1065,Test Yantra Software Solutions,3.4,583,IT Services & Consulting | 1k-5k Employees | Public | 16 years old | Bangalore/Bengaluru +13 more
1066,Quest Retail Private Limited,4.4,583,Retail | 501-1k Employees | 18 years old | Gurgaon/Gurugram +66 more
1067,Greenko Group,3.8,583,Power | 1k-5k Employees | 19 years old | Hyderabad +49 more
1068,Timken,4.0,582,Industrial Machinery | 1k-5k Employees | Public | 25 years old | Bangalore/Bengaluru +32 more
1069,National Health Mission,3.7,581,Healthcare | 10k-50k Employees | 18 years old | Guwahati +193 more
1070,More Supermarket,3.8,580,Retail | 10k-50k Employees | 16 years old | Mumbai +101 more
1071,Aarvi Encon,3.9,579,BPO | 1k-5k Employees | Public | 36 years old | Mumbai +73 more
1072,Capri Global Capital,3.9,579,NBFC | 1k-5k Employees | Public | 26 years old | Mumbai +149 more
1073,Pristyn Care,3.5,579,Healthcare | 1k-5k Employees | Indian Unicorn | 5 years old | Delhi +23 more
1074,Aspire Systems,3.9,579,IT Services & Consulting | 1k-5k Employees | 27 years old | Oak Brook +12 more
1075,GlaxoSmithKline Consumer Healthcare,4.5,578,Pharma | 1k-5k Employees | Public | 23 years old | London +89 more
1076,Pacific BPO,3.6,577,BPO | 1k-5k Employees | 13 years old | Noida +10 more
1077,Leadec India,3.9,576,Facility Management Services | 1k-5k Employees | 61 years old | Stuttgart +43 more
1078,Rupeek,3.7,576,FinTech | 1k-5k Employees | Startup | 8 years old | Bangalore +53 more
1079,Aditya Birla Finance,3.9,575,Financial Services | 10k-50k Employees | 11 years old | Mumbai +108 more
1080,Telenor,4.5,575,Telecom | 501-1k Employees | Forbes Global 2000 | 14 years old | Fornebu +115 more
1081,IDFC FIRST Bharat,4.2,575,NBFC | 5k-10k Employees | 7 years old | Tiruchirappalli +200 more
1082,Zoho,4.3,574,Software Product | 10k-50k Employees | 27 years old | Chennai +18 more
1083,Medlife,3.7,573,Internet | 1k-5k Employees | Startup | 9 years old | Bangalore +29 more
1084,LEAD School,3.2,573,EdTech | 1k-5k Employees | Indian Unicorn | 10 years old | Mumbai +63 more
1085,Kohler,3.9,572,Furniture & Furnishing | 1k-5k Employees | 150 years old | Kohler +35 more
1086,Otis Elevator,4.0,571,Industrial Machinery | 1k-5k Employees | 170 years old | Farmington +53 more
1087,T-SYSTEMS ICT INDIA,4.0,570,IT Services & Consulting | 1k-5k Employees | Public | 7 years old | Frankfurt +8 more
1088,Michelin,3.9,569,Auto Components | 1k-5k Employees | 14 years old | Clermont-Ferrand +37 more
1089,Medusind Solutions,3.9,569,IT Services & Consulting | 1k-5k Employees | 21 years old | Mumbai +7 more
1090,DAV Public School,4.0,569,Education & Training | 1 Lakh+ Employees | 137 years old | Delhi/NCR +128 more
1091,Aparna Constructions and Estates,4.1,568,Real Estate | 1k-5k Employees | 27 years old | Hyderabad/Secunderabad +15 more
1092,Artech Infosystems,3.6,567,1k-5k Employees | 31 years old | Morristown +18 more
1093,ValueMomentum,3.5,567,IT Services & Consulting | 1k-5k Employees | 23 years old | Piscataway +6 more
1094,Capital Numbers Infotech,4.7,567,IT Services & Consulting | 501-1k Employees | 11 years old | Kolkata +5 more
1095,H.G. Infra Engineering,4.3,566,Engineering & Construction | 1k-5k Employees | Public | 20 years old | Jaipur +63 more
1096,Webhelp,3.8,566,BPO | 1k-5k Employees | 23 years old | Paris +10 more
1097,Musashi Auto Parts,4.0,566,Auto Components | 1k-5k Employees | 85 years old | Gurgaon/Gurugram +13 more
1098,Grant Thornton,3.7,565,Accounting & Auditing | 5k-10k Employees | 99 years old | Chicago +38 more
1099,Dunzo,3.5,565,Internet | 1k-5k Employees | Startup | 9 years old | Bangalore +16 more
1100,Sanden Vikas,3.8,564,Auto Components | 1k-5k Employees | 41 years old | Faridabad +19 more
1101,SFO Technologies,3.6,564,Electronics Manufacturing | 1k-5k Employees | 33 years old | Kochi/Cochin +11 more
1102,Cult.fit,3.7,564,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +33 more
1103,Genpact Headstrong Capital Markets,3.8,564,IT Services & Consulting | 1k-5k Employees | 25 years old | New Delhi +16 more
1104,Bridge & Roof Co,3.6,563,Engineering & Construction | 1k-5k Employees | Central | 103 years old | Kolkata +57 more
1105,Kalpataru Group,3.8,563,Real Estate | 1k-5k Employees | Conglomerate | 54 years old | Mumbai +52 more
1106,Navayuga Engineering Company,4.1,562,Engineering & Construction | 501-1k Employees | 124 years old | Hyderabad/Secunderabad +55 more
1107,Netscribes,3.0,562,Analytics & KPO | 1k-5k Employees | 23 years old | New York +6 more
1108,Allscripts,4.2,561,IT Services & Consulting | 1k-5k Employees | 41 years old | Chicago +5 more
1109,OLX,3.9,560,IT Services & Consulting | 1k-5k Employees | 17 years old | Gurgaon +43 more
1110,Defence Research & Development Organisation,4.4,560,Defence & Aerospace | 10k-50k Employees | Central | 65 years old | Delhi/NCR +36 more
1111,Physicswallah,4.0,560,EdTech | 10k-50k Employees | Indian Unicorn | 4 years old | Noida +46 more
1112,Carnival Cruise Lines,4.5,559,Sports & Recreation | 1k-5k Employees | Public | 51 years old | Miami +20 more
1113,Schlumberger,4.2,559,Oil & Gas | 5k-10k Employees | Forbes Global 2000 | 97 years old | Houston +27 more
1114,ICCS,3.2,558,BPO | 501-1k Employees | 18 years old | Delhi/NCR +18 more
1115,Sagility,4.0,558,BPO | 10k-50k Employees | Bangalore Rural +14 more
1116,GirnarSoft,3.7,557,IT Services & Consulting | 1k-5k Employees | 16 years old | Jaipur +41 more
1117,ICA Edu Skills,3.8,556,Education & Training | 1k-5k Employees | 24 years old | Kolkata +109 more
1118,Temenos,3.2,556,IT Services & Consulting | 1k-5k Employees | 30 years old | Geneva +7 more
